S_no,Country,City,Country (c),City (Repeat),City to country name,Images_link,Wordpress_id,Reference_image(Country),Reference_image_india
455,,,France,Nashik,Nashik to France,,,,
456,,,France,New Delhi,New Delhi to France,,,,
457,,,France,Nizamabad,Nizamabad to France,,,,
458,,,France,Noida,Noida to France,,,,
459,,,France,Okhla,Okhla to France,,,,
460,,,France,Panipat,Panipat to France,,,,
461,,,France,Paradip,Paradip to France,,,,
462,,,France,Patiala,Patiala to France,,,,
463,,,France,Pune,Pune to France,,,,
464,,,France,Rajkot,Rajkot to France,,,,
465,,,France,Rourkela,Rourkela to France,,,,
466,,,France,Siliguri,Siliguri to France,,,,
467,,,France,Sonipat,Sonipat to France,,,,
468,,,France,Surat,Surat to France,,,,
469,,,France,Tirupati,Tirupati to France,,,,
470,,,France,Tiruppur,Tiruppur to France,,,,
471,,,France,Udaipur,Udaipur to France,,,,
472,,,France,Vadodara,Vadodara to France,,,,
473,,,France,Varanasi,Varanasi to France,,,,
474,,,France,Vijayawada,Vijayawada to France,,,,
475,,,France,Visakhapatnam,Visakhapatnam to France,,,,
476,,,France,Warangal,Warangal to France,,,,
477,,,Italy,Agra,Agra to Italy,,,,
478,,,Italy,Ahmedabad,Ahmedabad to Italy,,,,
479,,,Italy,Amritsar,Amritsar to Italy,,,,
480,,,Italy,Aurangabad,Aurangabad to Italy,,,,
481,,,Italy,Bawana Industrial Area,Bawana Industrial Area to Italy,,,,
482,,,Italy,Belagavi,Belagavi to Italy,,,,
483,,,Italy,Bengaluru,Bengaluru to Italy,,,,
484,,,Italy,Bhilwara,Bhilwara to Italy,,,,
485,,,Italy,Bhopal,Bhopal to Italy,,,,
486,,,Italy,Bhubaneswar,Bhubaneswar to Italy,,,,
487,,,Italy,Chennai,Chennai to Italy,,,,
488,,,Italy,Coimbatore,Coimbatore to Italy,,,,
489,,,Italy,Cuttack,Cuttack to Italy,,,,
490,,,Italy,Dewas,Dewas to Italy,,,,
491,,,Italy,Dharwad,Dharwad to Italy,,,,
492,,,Italy,Durgapur,Durgapur to Italy,,,,
493,,,Italy,Erode,Erode to Italy,,,,
494,,,Italy,Faridabad,Faridabad to Italy,,,,
495,,,Italy,Gandhidham,Gandhidham to Italy,,,,
